Barrier,Erosion,Count,Weight,Site
Bareland,Eroded,4,62.6,S10
Bareland,Eroded,14,810.9,S10
Bareland,Eroded,16,1506.1,S10
Bareland,Eroded,51,381.02,S13
Bareland,Eroded,8,70.7,S13
Bareland,None,49,334.45,S13
Bareland,None,30,616.61,S13
Bareland,None,64,1405.9,S8
Bareland,None,18,1492.62,S2
Bareland,None,6,335.9,S1
Rock,Eroded,27,1263.4,S9
Rock,Eroded,15,870.7,S9
Rock,Eroded,20,1024,S9
Rock,Eroded,30,1339.3,S9
Rock,Eroded,48,400.1,S9
Rock,None,43,434.62,S9
Rock,None,8,215.7,S9
Rock,None,13,344.1,S9
Rock ,None,19,845.1,S9
Rock,None,25,1252.2,S2
Vegetation,None,53,858.13,S8
Vegetation,None,11,807,S10
Vegetation,None,15,1334.95,S3
Vegetation,None,40,500.5,S1
Vegetation,None,41,553.23,S5
Vegetation,Eroded,21,580.9,S10
Vegetation,Eroded,24,730.7,S10
Vegetation,Eroded,32,1235.03,S13
Vegetation,Eroded,42,681.1,S5
Vegetation,Eroded,26,448.4,S1
